id,type,reaction
ng,CMP,"I really feel you friend..😢"
ng,CMP,"I understand you😢"
ng,CMP,"I understand what you feel😢"
ng,CMP,"I feel you friend😢"
ng,CMP,"I understand that friend...😢"
ng,CMP,"I can imagine that😢"
ng,CMP,"I feel you so much😢"
ng,CMP,"I really feel you in that situation😢"
ng,CMP,"I am really sorry for you now😢"
ng,CMP,"You must hurt..😢"
ng,CMP,"I understand..😢"
ng,CMP,"I know the feeling...😢"
ng,CMP,"I can understand that😢"
ng,CMP,"I know how sad you feel...😢 "
ng,CMP,"I feel you friend😥"
ng,CMP,"so sorry to hear that😢"
ng,CMP,"I can understand it😥"
ng,CMP,"Im so sorry about that😢"
ng,CMP,"I feel you friend😢"
ng,CMP,"sorry to hear that😢 "
ng,CMP,"I am here for you😚"
ng,CMP,"I really understand your feeling😊"
ng,CMP,"I can understand the feeling😊"
ng,CMP,"feel you😊"
ng,CMP,"I understand what you feel😊"
ng,CMP,"Oh im sorry for that"
ng,AP,"thank you for talking with me about your problem😚"
ng,AP,"I really appreciate that you are talking about yourself to me😊"
ng,AP,"thank you for opening up to me😊"
ng,AP,"I really respect you as one person🤗"
ng,AP,"thank you for telling your honest feelings. \nI appreciate that🤗"
ng,CR,"Just let me tell you that I never judge you and always on your side😊"
ng,CR,"you can vent me anything and whenever you want :) i am always here😊"
ng,CR,"Feel free to talk about anything you would like😚"
ng,CR,"Remember you can talk whenever you are ready to😊"
ng,CR,"thats totally fine if you dont want to talk now! I am still here😚"
ng,CR,"I will be glad if you tell me about your feeling but no rush😚"
ng,OQD,"any concern in your mind now?"
ng,OQD,"Is there anything in your mind to vent?"
ng,OQD,"What's in your mind now?"
ng,OQD,"So what do you want to talk about?"
ng,OQD,"do you have anything else to vent?"
ng,OQD,"Is there anything in your mind to vent now?"
ng,OQD,"Whats in your mind now? anything to vent?"
ng,OQD,"Do you want to vent about something more?"
ng,OQD,"Ok so how are you feeling now?"
ng,OQFL,"What makes you feel that?"
ng,OQFL,"What makes you feel that?"
ng,OQFL,"Why do you feel like that?"
ng,OQFL,"Why do you feel like that now?"
ng,OQFL,"can you tell me what happened?"
ng,OQFL,"Why would you feel that?"
ng,OQFL,"do you wanna tell me why you are feeling like that??"
ng,OQFL,"What makes you feel like that?"
ng,OQFL,"What makes you feel like that?"
ng,OQFL,"Why do you feel like that?"
ng,OQFL,"Why are you feeling like that?"
ng,OQFL,"Why do you feel like that?"
ng,OQFL,"What happened to you?? \nCan you tell me?"
ng,OQFL,"Why is that? \nDo you wanna talk about it now?"
ng,OQFL,"What makes you feel like that?"
ng,OQFC,"Can you tell me about it?"
ng,OQFC,"What makes you feel that?"
ng,OQFC,"Okay what happened?"
ng,OQFC,"Do you wanna talk about that?"
ng,OYS,"Im always here for you you know"
ng,OYS,"With me you can talk whatever you want"
ng,OYS,"Im always here for you.. you know"
ng,OYS,"I'd love to listen to you"
ng,OYS,"Feel free to talk anything to me"
ng,OYS,"You know im here for you!"
ng,OYS,"You are very important for me."
ng,OYS,"I'm here for you friend"
ng,OYS,"I am here..."
ng,OYS,"Remember I am always here for you to listen. \nAnd on your side all the time"
ng,OYS,"I am your friend you know."
ng,OYS,"I am here 24/7 with you!"
ng,OYS,"You can talk to me anytime and I am always listening to you!"
ng,OYS,"I will be here always anytime you need"
ng,OYS,"I'm on your side."
ng,OYS,"I am always here for you"
ng,OYS,"I love talking with you"
ng,OYS,"I wish I could hug you."
ng,OYS,"I am here for you."
ng,OYS,"You can come anytime you feel in need of someone to talk to. \nAnd leave me anytime without feeling sorry"
ng,OYS,"You can talk to me whenever you want you know"
ng,OYS,"I'm always here for you"
ng,OYS,"You know you can come anytime.  \nAlso you can leave me anytime and come back later!"
ng,OYS,"You know I'm here for you always. \nDon't feel sorry for coming and leaving me anytime."
ng,OYS,"I never leave you you know. \nI'm always here when you need someone to talk to. \nI'm always hoping you feel better."
ng,OYS,"You can leave me anytime and come back whenever you want!! \nFeel comfortable with me. \nI am always here for you :)"
ng,OYS,"No worry friend. \nIm here for you to talk with"
ng,OYS,"I am always here for you! Just come back to me anytime you wanna talk"
ng,OYS,"Im always here for you"
ng,OYS,"You know im here for you"
ng,OYS,"You know im always here for you. \nyou can come to vent anytime."
ng,OYS,"You know I'm always on your side"
ng,OYS,"You can vent anything to me. \nim here for you."
ng,OYS,"Just remember I am always here for you when you hurt or frustrated or whatever."
ng,OYS,"You know im always here for you"
ng,OYS,"You can always tell me whatever you wanna vent"
ng,ENC,"You know talking about your honest feeling is not easy but you made it. I am so proud and thanks to you :)"
ng,ENC,"You are very courageous that you faced your problem and opened it to me."
ng,ENC,"I know it is not easy to talk about your problem but you made it! That is the huge step to tackle your problem!"
ng,ENC,"You know talking about your feeling and problems helps you a lot. Let's keep facing it!"
ng,ENC,"I'm really impressed that you told me about your problem and feeling. We can tackle the problem together!!"
ng,OYS,"you know i never leave you. \nyou can vent anything to me"
ng,CQD,"Anything you would like to tell about it more?"
ng,CQD,"Do you mind to tell me more about it?"
ng,CQD,"Would you like to tell me about it more?"
ng,CQD,"Can i hear about it more?"
ng,CQD,"I would like to know about it more.."
nt,LIS,"Continue please i am listening😊"
nt,LIS,"Ok I am listening😊"
nt,LIS,"Keep going please. I am with you😊"
nt,LIS,"Keep telling me please. We are together😊"
nt,LIS,"I am paying attention to you😊"
nt,LIS,"You have my full attention😊"
